"ID_ITEM","PRODUCT","CATEGORY"
"12114","ITEM 12114","ELECTRONICS"
"12115","ITEM 12115","HOME"
"12116","ITEM 12116","BEAUTY"
"12117","ITEM 12117","HEALTH"
"12118","ITEM 12118","OTHERS"
"12119","ITEM 12119","SPORTS"
"12120","ITEM 12120","SPORTS"
"12121","ITEM 12121","SPORTS"
"12122","ITEM 12122","OTHERS"
"12123","ITEM 12123","HOME"
"12124","ITEM 12124","OTHERS"
"12125","ITEM 12125","OTHERS"
"12082","ITEM 12082","OTHERS"
"12106","ITEM 12106","ELECTRONICS"
"12126","ITEM 12126","SPORTS"
"122614","ITEM 122614","HOME"
"122615","ITEM 122615","HOME"
"12127","ITEM 12127","KITCHEN"
"16846","ITEM 16846","BEAUTY"
"16847","ITEM 16847","BEAUTY"
"16848","ITEM 16848","BEAUTY"
"16856","ITEM 16856","OTHERS"
"12085","ITEM 12085","OTHERS"
"12086","ITEM 12086","HOME"
"12087","ITEM 12087","HOME"
"12088","ITEM 12088","OTHERS"
"12089","ITEM 12089","KITCHEN"
"12090","ITEM 12090","OTHERS"
"12091","ITEM 12091","OTHERS"
"12092","ITEM 12092","ELECTRONICS"
"12093","ITEM 12093","ELECTRONICS"
"12094","ITEM 12094","ELECTRONICS"
"12095","ITEM 12095","ELECTRONICS"
"12096","ITEM 12096","ELECTRONICS"
"12097","ITEM 12097","ELECTRONICS"
"12098","ITEM 12098","HOME"
"12099","ITEM 12099","ELECTRONICS"
"12100","ITEM 12100","HOME"
"12101","ITEM 12101","HOME"
"12102","ITEM 12102","ELECTRONICS"
"12103","ITEM 12103","ELECTRONICS"
"12083","ITEM 12083","ELECTRONICS"
"12084","ITEM 12084","ELECTRONICS"
"12104","ITEM 12104","ELECTRONICS"
"12105","ITEM 12105","ELECTRONICS"
"11991","ITEM 11991","KITCHEN"
"11992","ITEM 11992","KITCHEN"
"11993","ITEM 11993","KITCHEN"
"11994","ITEM 11994","OTHERS"
"11995","ITEM 11995","ELECTRONICS"
"11996","ITEM 11996","ELECTRONICS"
"11997","ITEM 11997","ELECTRONICS"
"11998","ITEM 11998","ELECTRONICS"
"11999","ITEM 11999","KITCHEN"
"12000","ITEM 12000","ELECTRONICS"
"12001","ITEM 12001","KITCHEN"
"12002","ITEM 12002","ELECTRONICS"
"12004","ITEM 12004","OTHERS"
"12005","ITEM 12005","ELECTRONICS"
"12006","ITEM 12006","ELECTRONICS"
"121208","ITEM 121208","KITCHEN"
"121267","ITEM 121267","KITCHEN"
"12007","ITEM 12007","ELECTRONICS"
"12008","ITEM 12008","ELECTRONICS"
"12009","ITEM 12009","ELECTRONICS"
"12010","ITEM 12010","ELECTRONICS"
"12011","ITEM 12011","ELECTRONICS"
"12012","ITEM 12012","HOME"
"12013","ITEM 12013","ELECTRONICS"
"12014","ITEM 12014","ELECTRONICS"
"12015","ITEM 12015","OTHERS"
"12016","ITEM 12016","ELECTRONICS"
"12017","ITEM 12017","ELECTRONICS"
"12018","ITEM 12018","KITCHEN"
"12019","ITEM 12019","KITCHEN"
"12020","ITEM 12020","OTHERS"
"12021","ITEM 12021","ELECTRONICS"
"12022","ITEM 12022","HEALTH"
"12023","ITEM 12023","HOME"
"12024","ITEM 12024","ELECTRONICS"
"12026","ITEM 12026","ELECTRONICS"
"12027","ITEM 12027","HEALTH"
"12028","ITEM 12028","ELECTRONICS"
"12029","ITEM 12029","OTHERS"
"12030","ITEM 12030","ELECTRONICS"
"12031","ITEM 12031","SPORTS"
"12032","ITEM 12032","SPORTS"
"12033","ITEM 12033","SPORTS"
"12034","ITEM 12034","HOME"
"12035","ITEM 12035","SPORTS"
"12036","ITEM 12036","SPORTS"
"12037","ITEM 12037","SPORTS"
"12038","ITEM 12038","SPORTS"
"12039","ITEM 12039","SPORTS"
"12040","ITEM 12040","SPORTS"
"12041","ITEM 12041","SPORTS"
"12042","ITEM 12042","SPORTS"
"12043","ITEM 12043","SPORTS"
"12044","ITEM 12044","SPORTS"
"12045","ITEM 12045","KITCHEN"
"12046","ITEM 12046","SPORTS"
"12047","ITEM 12047","SPORTS"
"12048","ITEM 12048","SPORTS"
"12049","ITEM 12049","KITCHEN"
"12050","ITEM 12050","KITCHEN"
"12051","ITEM 12051","KITCHEN"
"12052","ITEM 12052","KITCHEN"
"12053","ITEM 12053","KITCHEN"
"12054","ITEM 12054","KITCHEN"
"12055","ITEM 12055","KITCHEN"
"12056","ITEM 12056","KITCHEN"
"12057","ITEM 12057","KITCHEN"
"12058","ITEM 12058","KITCHEN"
"12059","ITEM 12059","KITCHEN"
"16855","ITEM 16855","ELECTRONICS"
"16857","ITEM 16857","OTHERS"
"16858","ITEM 16858","OTHERS"
"16859","ITEM 16859","OTHERS"
"11853","ITEM 11853","HEALTH"
"11854","ITEM 11854","HEALTH"
"11855","ITEM 11855","HEALTH"
"11856","ITEM 11856","HEALTH"
"122399","ITEM 122399","KITCHEN"
"11857","ITEM 11857","HEALTH"
"11858","ITEM 11858","HEALTH"
"11859","ITEM 11859","ELECTRONICS"
"11860","ITEM 11860","OTHERS"
"11861","ITEM 11861","HEALTH"
"11862","ITEM 11862","HEALTH"
"11863","ITEM 11863","KITCHEN"
"11864","ITEM 11864","KITCHEN"
"11865","ITEM 11865","KITCHEN"
"11866","ITEM 11866","KITCHEN"
"11867","ITEM 11867","HOME"
"11868","ITEM 11868","KITCHEN"
"11869","ITEM 11869","KITCHEN"
"11870","ITEM 11870","KITCHEN"
"11871","ITEM 11871","KITCHEN"
"11872","ITEM 11872","KITCHEN"
"11873","ITEM 11873","KITCHEN"
"11874","ITEM 11874","KITCHEN"
"11875","ITEM 11875","KITCHEN"
"11876","ITEM 11876","KITCHEN"
"11877","ITEM 11877","KITCHEN"
"11878","ITEM 11878","HOME"
"11879","ITEM 11879","HOME"
"11880","ITEM 11880","KITCHEN"
"11881","ITEM 11881","ELECTRONICS"
"11882","ITEM 11882","OTHERS"
"11883","ITEM 11883","OTHERS"
"11885","ITEM 11885","OTHERS"
"11886","ITEM 11886","OTHERS"
"11887","ITEM 11887","OTHERS"
"11888","ITEM 11888","OTHERS"
"11889","ITEM 11889","OTHERS"
"11890","ITEM 11890","OTHERS"
"11891","ITEM 11891","OTHERS"
"11892","ITEM 11892","OTHERS"
"11893","ITEM 11893","SPORTS"
"11894","ITEM 11894","OTHERS"
"11895","ITEM 11895","OTHERS"
"11896","ITEM 11896","OTHERS"
"11897","ITEM 11897","OTHERS"
"11898","ITEM 11898","SPORTS"
"11899","ITEM 11899","SPORTS"
"11900","ITEM 11900","OTHERS"
"11902","ITEM 11902","OTHERS"
"11903","ITEM 11903","KITCHEN"
"11904","ITEM 11904","OTHERS"
"11905","ITEM 11905","OTHERS"
"11906","ITEM 11906","OTHERS"
"11907","ITEM 11907","OTHERS"
"11908","ITEM 11908","OTHERS"
"11909","ITEM 11909","OTHERS"
"11910","ITEM 11910","HOME"
"11911","ITEM 11911","SPORTS"
"11912","ITEM 11912","HEALTH"
"11913","ITEM 11913","OTHERS"
"11914","ITEM 11914","OTHERS"
"11915","ITEM 11915","OTHERS"
"11917","ITEM 11917","OTHERS"
"11918","ITEM 11918","BEAUTY"
"11919","ITEM 11919","ELECTRONICS"
"11920","ITEM 11920","OTHERS"
"11921","ITEM 11921","OTHERS"
"15051","ITEM 15051","OTHERS"
"15190","ITEM 15190","OTHERS"
"15191","ITEM 15191","OTHERS"
"15192","ITEM 15192","OTHERS"
"11924","ITEM 11924","OTHERS"
"11925","ITEM 11925","OTHERS"
"11926","ITEM 11926","SPORTS"
"11927","ITEM 11927","OTHERS"
"11929","ITEM 11929","OTHERS"
"11930","ITEM 11930","HOME"
"11931","ITEM 11931","OTHERS"
"11932","ITEM 11932","HEALTH"
"11933","ITEM 11933","ELECTRONICS"
"11934","ITEM 11934","HEALTH"
"11935","ITEM 11935","ELECTRONICS"
"11936","ITEM 11936","ELECTRONICS"
"11937","ITEM 11937","ELECTRONICS"
"11938","ITEM 11938","OTHERS"
"11939","ITEM 11939","OTHERS"
"11940","ITEM 11940","ELECTRONICS"
"11941","ITEM 11941","ELECTRONICS"
"11942","ITEM 11942","ELECTRONICS"
"11943","ITEM 11943","ELECTRONICS"
"11944","ITEM 11944","KITCHEN"
"11922","ITEM 11922","OTHERS"
"11923","ITEM 11923","HEALTH"
"11947","ITEM 11947","OTHERS"
"11949","ITEM 11949","KITCHEN"
"11950","ITEM 11950","ELECTRONICS"
"11951","ITEM 11951","ELECTRONICS"
"11952","ITEM 11952","ELECTRONICS"
"11953","ITEM 11953","ELECTRONICS"
"11954","ITEM 11954","ELECTRONICS"
"11955","ITEM 11955","ELECTRONICS"
"11956","ITEM 11956","HOME"
"11957","ITEM 11957","ELECTRONICS"
"11958","ITEM 11958","SPORTS"
"11959","ITEM 11959","SPORTS"
"11960","ITEM 11960","SPORTS"
"11961","ITEM 11961","OTHERS"
"11962","ITEM 11962","OTHERS"
"11963","ITEM 11963","KITCHEN"
"11964","ITEM 11964","KITCHEN"
"11945","ITEM 11945","HEALTH"
"11946","ITEM 11946","OTHERS"
"11965","ITEM 11965","KITCHEN"
"11966","ITEM 11966","KITCHEN"
"11967","ITEM 11967","HOME"
"11114","ITEM 11114","OTHERS"
"11115","ITEM 11115","OTHERS"
"11116","ITEM 11116","OTHERS"
"11117","ITEM 11117","OTHERS"
"11118","ITEM 11118","OTHERS"
"11119","ITEM 11119","OTHERS"
"11120","ITEM 11120","OTHERS"
"11121","ITEM 11121","OTHERS"
"11122","ITEM 11122","OTHERS"
"11123","ITEM 11123","KITCHEN"
"11124","ITEM 11124","OTHERS"
"11125","ITEM 11125","OTHERS"
"11126","ITEM 11126","HEALTH"
"11127","ITEM 11127","HEALTH"
"11128","ITEM 11128","ELECTRONICS"
"122483","ITEM 122483","KITCHEN"
"11129","ITEM 11129","ELECTRONICS"
"11130","ITEM 11130","ELECTRONICS"
"11131","ITEM 11131","HEALTH"
"11132","ITEM 11132","ELECTRONICS"
"11133","ITEM 11133","ELECTRONICS"
"11134","ITEM 11134","KITCHEN"
"11135","ITEM 11135","OTHERS"
"11136","ITEM 11136","OTHERS"
"16724","ITEM 16724","OTHERS"
"16725","ITEM 16725","OTHERS"
"16728","ITEM 16728","OTHERS"
"16729","ITEM 16729","OTHERS"
"1792","ITEM 1792","OTHERS"
"1794","ITEM 1794","OTHERS"
"1795","ITEM 1795","OTHERS"
"1796","ITEM 1796","OTHERS"
"1797","ITEM 1797","OTHERS"
"1798","ITEM 1798","OTHERS"
"1799","ITEM 1799","OTHERS"
"1800","ITEM 1800","OTHERS"
"1801","ITEM 1801","BEAUTY"
"1802","ITEM 1802","OTHERS"
"1803","ITEM 1803","OTHERS"
"1804","ITEM 1804","OTHERS"
"1805","ITEM 1805","OTHERS"
"1806","ITEM 1806","OTHERS"
"1807","ITEM 1807","OTHERS"
"1808","ITEM 1808","OTHERS"
"1809","ITEM 1809","OTHERS"
"1810","ITEM 1810","OTHERS"
"1811","ITEM 1811","OTHERS"
"1812","ITEM 1812","BEAUTY"
"1813","ITEM 1813","OTHERS"
"1814","ITEM 1814","OTHERS"
"15059","ITEM 15059","ELECTRONICS"
"15203","ITEM 15203","OTHERS"
"15280","ITEM 15280","OTHERS"
"15281","ITEM 15281","OTHERS"
"1815","ITEM 1815","OTHERS"
"1816","ITEM 1816","OTHERS"
"1817","ITEM 1817","OTHERS"
"1818","ITEM 1818","OTHERS"
"1819","ITEM 1819","OTHERS"
"1820","ITEM 1820","OTHERS"
"1821","ITEM 1821","OTHERS"
"1822","ITEM 1822","OTHERS"
"1823","ITEM 1823","BEAUTY"
"1824","ITEM 1824","OTHERS"
"1825","ITEM 1825","OTHERS"
"1826","ITEM 1826","OTHERS"
"1827","ITEM 1827","OTHERS"
"1828","ITEM 1828","OTHERS"
"1829","ITEM 1829","OTHERS"
"1830","ITEM 1830","OTHERS"
"1831","ITEM 1831","OTHERS"
"1832","ITEM 1832","SPORTS"
"1834","ITEM 1834","OTHERS"
"1835","ITEM 1835","OTHERS"
"1836","ITEM 1836","OTHERS"
"1837","ITEM 1837","OTHERS"
"14968","ITEM 14968","KITCHEN"
"14972","ITEM 14972","HOME"
"15282","ITEM 15282","OTHERS"
"15283","ITEM 15283","OTHERS"
"1838","ITEM 1838","OTHERS"
"1839","ITEM 1839","OTHERS"
"1840","ITEM 1840","OTHERS"
"1842","ITEM 1842","SPORTS"
"1843","ITEM 1843","OTHERS"
"1844","ITEM 1844","HOME"
"1846","ITEM 1846","OTHERS"
"1847","ITEM 1847","OTHERS"
"1848","ITEM 1848","OTHERS"
"1849","ITEM 1849","OTHERS"
"1850","ITEM 1850","OTHERS"
"1851","ITEM 1851","SPORTS"
"1852","ITEM 1852","OTHERS"
"1853","ITEM 1853","OTHERS"
"1854","ITEM 1854","OTHERS"
"1855","ITEM 1855","HEALTH"
"1856","ITEM 1856","HEALTH"
"1857","ITEM 1857","OTHERS"
"1858","ITEM 1858","OTHERS"
"1859","ITEM 1859","OTHERS"
"1860","ITEM 1860","OTHERS"
"15222","ITEM 15222","HOME"
"15284","ITEM 15284","OTHERS"
"15401","ITEM 15401","KITCHEN"
"15413","ITEM 15413","HOME"
"15414","ITEM 15414","KITCHEN"
"1861","ITEM 1861","OTHERS"
"1862","ITEM 1862","OTHERS"
"1863","ITEM 1863","OTHERS"
"1864","ITEM 1864","OTHERS"
"1865","ITEM 1865","OTHERS"
"1866","ITEM 1866","OTHERS"
"1867","ITEM 1867","HEALTH"
"1868","ITEM 1868","OTHERS"
"1869","ITEM 1869","HOME"
"1870","ITEM 1870","OTHERS"
"1871","ITEM 1871","OTHERS"
"1872","ITEM 1872","OTHERS"
"1873","ITEM 1873","OTHERS"
"1874","ITEM 1874","OTHERS"
"1875","ITEM 1875","OTHERS"
"1876","ITEM 1876","OTHERS"
"1877","ITEM 1877","OTHERS"
"1878","ITEM 1878","SPORTS"
"1879","ITEM 1879","OTHERS"
"1881","ITEM 1881","OTHERS"
"1882","ITEM 1882","OTHERS"
"1883","ITEM 1883","OTHERS"
"15202","ITEM 15202","SPORTS"
"15415","ITEM 15415","OTHERS"
"15471","ITEM 15471","OTHERS"
"15481","ITEM 15481","OTHERS"
"15482","ITEM 15482","OTHERS"
"1884","ITEM 1884","OTHERS"
"1885","ITEM 1885","HEALTH"
"1886","ITEM 1886","OTHERS"
"1887","ITEM 1887","OTHERS"
"1888","ITEM 1888","OTHERS"
"1889","ITEM 1889","OTHERS"
"1890","ITEM 1890","BEAUTY"
"1891","ITEM 1891","OTHERS"
"1893","ITEM 1893","OTHERS"
"1894","ITEM 1894","OTHERS"
"1895","ITEM 1895","OTHERS"
"1896","ITEM 1896","OTHERS"
"1897","ITEM 1897","OTHERS"
"1898","ITEM 1898","OTHERS"
"1899","ITEM 1899","OTHERS"
"1900","ITEM 1900","OTHERS"
"1901","ITEM 1901","SPORTS"
"1902","ITEM 1902","OTHERS"
"1903","ITEM 1903","OTHERS"
"1904","ITEM 1904","OTHERS"
"1906","ITEM 1906","OTHERS"
"15483","ITEM 15483","OTHERS"
"15484","ITEM 15484","OTHERS"
"15485","ITEM 15485","OTHERS"
"15573","ITEM 15573","OTHERS"
"15574","ITEM 15574","OTHERS"
"1907","ITEM 1907","OTHERS"
"1908","ITEM 1908","OTHERS"
"1909","ITEM 1909","OTHERS"
"1910","ITEM 1910","OTHERS"
"1911","ITEM 1911","OTHERS"
"1912","ITEM 1912","KITCHEN"
"1913","ITEM 1913","OTHERS"
"1914","ITEM 1914","OTHERS"
"1915","ITEM 1915","OTHERS"
"1916","ITEM 1916","OTHERS"
"1917","ITEM 1917","OTHERS"
"1918","ITEM 1918","OTHERS"
"1919","ITEM 1919","OTHERS"
"1921","ITEM 1921","OTHERS"
"1922","ITEM 1922","OTHERS"
"1923","ITEM 1923","KITCHEN"
"1924","ITEM 1924","OTHERS"
"1925","ITEM 1925","OTHERS"
"1926","ITEM 1926","OTHERS"
"1927","ITEM 1927","OTHERS"
"1928","ITEM 1928","OTHERS"
"1929","ITEM 1929","OTHERS"
"15285","ITEM 15285","HOME"
"15286","ITEM 15286","BEAUTY"
"15576","ITEM 15576","OTHERS"
"15620","ITEM 15620","KITCHEN"
"15635","ITEM 15635","HEALTH"
"1930","ITEM 1930","OTHERS"
"1931","ITEM 1931","OTHERS"
"1932","ITEM 1932","OTHERS"
"1933","ITEM 1933","OTHERS"
"1934","ITEM 1934","KITCHEN"
"1935","ITEM 1935","OTHERS"
"1936","ITEM 1936","OTHERS"
"1937","ITEM 1937","OTHERS"
"1938","ITEM 1938","ELECTRONICS"
"1939","ITEM 1939","OTHERS"
"1940","ITEM 1940","OTHERS"
"1941","ITEM 1941","HOME"
"1942","ITEM 1942","HOME"
"1943","ITEM 1943","OTHERS"
"1944","ITEM 1944","OTHERS"
"1945","ITEM 1945","KITCHEN"
"1946","ITEM 1946","OTHERS"
"1947","ITEM 1947","OTHERS"
"1948","ITEM 1948","OTHERS"
"1949","ITEM 1949","OTHERS"
"1950","ITEM 1950","OTHERS"
"1951","ITEM 1951","OTHERS"
"1952","ITEM 1952","ELECTRONICS"
"15408","ITEM 15408","OTHERS"
"15409","ITEM 15409","OTHERS"
"15410","ITEM 15410","OTHERS"
"15412","ITEM 15412","KITCHEN"
"1953","ITEM 1953","OTHERS"
"1954","ITEM 1954","OTHERS"
"1955","ITEM 1955","OTHERS"
"1956","ITEM 1956","KITCHEN"
"1957","ITEM 1957","OTHERS"
"1958","ITEM 1958","OTHERS"
"1959","ITEM 1959","ELECTRONICS"
"1960","ITEM 1960","OTHERS"
"1961","ITEM 1961","ELECTRONICS"
"1962","ITEM 1962","ELECTRONICS"
"1963","ITEM 1963","KITCHEN"
"122413","ITEM 122413","HOME"
"1964","ITEM 1964","KITCHEN"
"1965","ITEM 1965","ELECTRONICS"
"1966","ITEM 1966","ELECTRONICS"
"1967","ITEM 1967","KITCHEN"
"1968","ITEM 1968","ELECTRONICS"
"1969","ITEM 1969","ELECTRONICS"
"1970","ITEM 1970","OTHERS"
"1971","ITEM 1971","ELECTRONICS"
"1972","ITEM 1972","ELECTRONICS"
"1973","ITEM 1973","BEAUTY"
"1974","ITEM 1974","OTHERS"
"1975","ITEM 1975","OTHERS"
"15072","ITEM 15072","OTHERS"
"15073","ITEM 15073","OTHERS"
"15074","ITEM 15074","OTHERS"
"15075","ITEM 15075","OTHERS"
"15076","ITEM 15076","OTHERS"
"1976","ITEM 1976","OTHERS"
"1977","ITEM 1977","OTHERS"
"1978","ITEM 1978","KITCHEN"
"1979","ITEM 1979","OTHERS"
"1980","ITEM 1980","OTHERS"
"1981","ITEM 1981","OTHERS"
"1982","ITEM 1982","OTHERS"
"1983","ITEM 1983","OTHERS"
"1984","ITEM 1984","SPORTS"
"1985","ITEM 1985","OTHERS"
"1986","ITEM 1986","OTHERS"
"1987","ITEM 1987","OTHERS"
"1988","ITEM 1988","OTHERS"
"1990","ITEM 1990","KITCHEN"
"1991","ITEM 1991","OTHERS"
"1992","ITEM 1992","OTHERS"
"1993","ITEM 1993","OTHERS"
"1994","ITEM 1994","OTHERS"
"1995","ITEM 1995","OTHERS"
"1996","ITEM 1996","OTHERS"
"1997","ITEM 1997","OTHERS"
"1998","ITEM 1998","OTHERS"
"1999","ITEM 1999","HOME"
"11000","ITEM 11000","OTHERS"
"11001","ITEM 11001","KITCHEN"
"11002","ITEM 11002","OTHERS"
"11003","ITEM 11003","OTHERS"
"11004","ITEM 11004","OTHERS"
"11005","ITEM 11005","ELECTRONICS"
"11006","ITEM 11006","ELECTRONICS"
"11007","ITEM 11007","OTHERS"
"11008","ITEM 11008","OTHERS"
"11009","ITEM 11009","OTHERS"
"11010","ITEM 11010","ELECTRONICS"
"11011","ITEM 11011","ELECTRONICS"
"11012","ITEM 11012","KITCHEN"
"11013","ITEM 11013","OTHERS"
"11014","ITEM 11014","ELECTRONICS"
"11015","ITEM 11015","OTHERS"
"11016","ITEM 11016","OTHERS"
"11017","ITEM 11017","BEAUTY"
"11018","ITEM 11018","OTHERS"
"11019","ITEM 11019","OTHERS"
"11020","ITEM 11020","OTHERS"
"11021","ITEM 11021","OTHERS"
"15066","ITEM 15066","ELECTRONICS"
"15067","ITEM 15067","KITCHEN"
"15068","ITEM 15068","KITCHEN"
"15077","ITEM 15077","OTHERS"
"11022","ITEM 11022","OTHERS"
"11024","ITEM 11024","OTHERS"
"11025","ITEM 11025","OTHERS"
"11026","ITEM 11026","OTHERS"
"11027","ITEM 11027","OTHERS"
"11028","ITEM 11028","OTHERS"
"11029","ITEM 11029","OTHERS"
"11030","ITEM 11030","OTHERS"
"11031","ITEM 11031","OTHERS"
"11033","ITEM 11033","OTHERS"
"11034","ITEM 11034","KITCHEN"
"11035","ITEM 11035","OTHERS"
"11036","ITEM 11036","OTHERS"
"11037","ITEM 11037","OTHERS"
"11038","ITEM 11038","OTHERS"
"11039","ITEM 11039","OTHERS"
"11040","ITEM 11040","OTHERS"
"11041","ITEM 11041","OTHERS"
"11042","ITEM 11042","OTHERS"
"11043","ITEM 11043","OTHERS"
"11044","ITEM 11044","OTHERS"
"15078","ITEM 15078","OTHERS"
"15079","ITEM 15079","OTHERS"
"15278","ITEM 15278","OTHERS"
"15279","ITEM 15279","OTHERS"
"11045","ITEM 11045","KITCHEN"
"11046","ITEM 11046","KITCHEN"
"11047","ITEM 11047","KITCHEN"
"11048","ITEM 11048","KITCHEN"
"11049","ITEM 11049","KITCHEN"
"11050","ITEM 11050","OTHERS"
"11051","ITEM 11051","OTHERS"
"11052","ITEM 11052","OTHERS"
"11053","ITEM 11053","OTHERS"
"11054","ITEM 11054","OTHERS"
"11055","ITEM 11055","OTHERS"
"11056","ITEM 11056","KITCHEN"
"11057","ITEM 11057","OTHERS"
"11058","ITEM 11058","OTHERS"
"11059","ITEM 11059","OTHERS"
"11060","ITEM 11060","OTHERS"
"11062","ITEM 11062","OTHERS"
"11063","ITEM 11063","KITCHEN"
"11064","ITEM 11064","KITCHEN"
"11065","ITEM 11065","KITCHEN"
"11066","ITEM 11066","KITCHEN"
"11067","ITEM 11067","KITCHEN"
"11068","ITEM 11068","OTHERS"
"11069","ITEM 11069","OTHERS"
"11070","ITEM 11070","OTHERS"
"11071","ITEM 11071","OTHERS"
"11072","ITEM 11072","OTHERS"
"11073","ITEM 11073","OTHERS"
"11074","ITEM 11074","ELECTRONICS"
"11075","ITEM 11075","ELECTRONICS"
"11076","ITEM 11076","ELECTRONICS"
"122415","ITEM 122415","HOME"
"122479","ITEM 122479","HOME"
"11077","ITEM 11077","ELECTRONICS"
"11078","ITEM 11078","KITCHEN"
"11080","ITEM 11080","ELECTRONICS"
"11081","ITEM 11081","ELECTRONICS"
"11082","ITEM 11082","ELECTRONICS"
"11083","ITEM 11083","ELECTRONICS"
"136470","ITEM 136470","HOME"
"136474","ITEM 136474","HOME"
"136475","ITEM 136475","FASHION"
"11084","ITEM 11084","KITCHEN"
"11085","ITEM 11085","ELECTRONICS"
"11086","ITEM 11086","ELECTRONICS"
"11087","ITEM 11087","ELECTRONICS"
"11088","ITEM 11088","HOME"
"11089","ITEM 11089","KITCHEN"
"11090","ITEM 11090","OTHERS"
"11091","ITEM 11091","ELECTRONICS"
"11092","ITEM 11092","ELECTRONICS"
"11093","ITEM 11093","ELECTRONICS"
"116494","ITEM 116494","BEAUTY"
"11094","ITEM 11094","ELECTRONICS"
"11095","ITEM 11095","ELECTRONICS"
"11096","ITEM 11096","ELECTRONICS"
"11097","ITEM 11097","ELECTRONICS"
"11098","ITEM 11098","ELECTRONICS"
"11100","ITEM 11100","HOME"
"11101","ITEM 11101","KITCHEN"
"11102","ITEM 11102","HEALTH"
"11103","ITEM 11103","ELECTRONICS"
"11104","ITEM 11104","ELECTRONICS"
"11105","ITEM 11105","ELECTRONICS"
"11106","ITEM 11106","ELECTRONICS"
"11107","ITEM 11107","OTHERS"
"11108","ITEM 11108","OTHERS"
"11109","ITEM 11109","OTHERS"
"11110","ITEM 11110","ELECTRONICS"
"11111","ITEM 11111","OTHERS"
"11112","ITEM 11112","KITCHEN"
"11113","ITEM 11113","OTHERS"
"11459","ITEM 11459","OTHERS"
"11460","ITEM 11460","OTHERS"
"11461","ITEM 11461","OTHERS"
"11462","ITEM 11462","OTHERS"
"11463","ITEM 11463","OTHERS"
"11464","ITEM 11464","OTHERS"
"11465","ITEM 11465","OTHERS"
"11466","ITEM 11466","OTHERS"
"11467","ITEM 11467","OTHERS"
"11468","ITEM 11468","ELECTRONICS"
"11469","ITEM 11469","OTHERS"
"11470","ITEM 11470","OTHERS"
